,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
51,51,0.9697159811422558,2022-03-30 05:57:09.445930,2022-03-30 06:00:36.871996,0 days 00:03:27.426066,0.8055054386749946,2.1389612156841076,depthwise,0.19915331520140292,4.957779608479631,12,9,2.2513877037843235,2.6872868686931572,8.141638071697681,0.5379563817842403,COMPLETE
52,52,0.9656943116675957,2022-03-30 06:00:36.873800,2022-03-30 06:04:05.225644,0 days 00:03:28.351844,0.97584975465477,1.9541079590425405,depthwise,0.3664648897128273,4.923720850014116,6,13,0.23959111241666742,3.861417486304085,2.765006626598042,0.7324979393543796,COMPLETE
53,53,0.9674739150940598,2022-03-30 06:04:05.227883,2022-03-30 06:06:48.890188,0 days 00:02:43.662305,0.6167870359125813,1.0950074317976366,lossguide,0.41488226693481534,4.011433387689591,8,10,0.6984559813706435,6.628866330827465,8.858056821058618,0.6621764259342873,COMPLETE
54,54,0.9726215602278253,2022-03-30 06:06:48.892116,2022-03-30 06:10:49.213202,0 days 00:04:00.321086,0.5559784177376106,1.1165902421911031,lossguide,0.05133696664441903,4.796798805110363,11,4,1.9800184998932382,3.7107791190321233,9.61233754073488,0.5956228209305734,COMPLETE
55,55,0.9705203696321506,2022-03-30 06:10:49.214960,2022-03-30 06:12:43.669920,0 days 00:01:54.454960,0.3138850969497069,1.4128392910938563,lossguide,0.05390249508163192,0.9679082371138099,7,6,4.834736491602401,3.166200235856339,13.842734344935637,0.5386949873823775,COMPLETE
56,56,0.9702888237861514,2022-03-30 06:12:43.671916,2022-03-30 06:15:20.336203,0 days 00:02:36.664287,0.6749514323700309,0.43336519337089163,lossguide,0.15655463977082493,3.0472060161794987,9,13,1.7227704131380435,2.7504158455711902,10.152556553748262,0.4807229813741189,COMPLETE
57,57,0.9678211439220968,2022-03-30 06:15:20.338168,2022-03-30 06:18:51.809019,0 days 00:03:31.470851,0.8392302554396041,1.7826688765968706,lossguide,0.4563785628103879,7.084823089363456,11,15,3.761656496335067,6.598758701030004,5.457785021638212,0.8137572603104031,COMPLETE
58,58,0.9716690812127414,2022-03-30 06:18:51.810772,2022-03-30 06:22:09.885975,0 days 00:03:18.075203,0.613090355520459,0.8005525382294347,lossguide,0.10773174223777525,5.563600197508137,14,16,3.5906143040298346,3.911630997395746,6.7072871054479215,0.6352438930477434,COMPLETE
59,59,0.9668928274745463,2022-03-30 06:22:09.887828,2022-03-30 06:24:17.166122,0 days 00:02:07.278294,0.45739503010188504,2.52712166725028,depthwise,0.29161930358164107,7.611484208746052,15,36,1.209539611360273,2.8041538687959404,6.901034491445746,0.677367193812018,COMPLETE
60,60,0.9707222473124585,2022-03-30 06:24:17.168136,2022-03-30 06:27:46.784157,0 days 00:03:29.616021,0.6257998848311784,2.85641345494175,lossguide,0.16872299667848673,3.999369116666717,15,17,2.2261696914863585,2.9475363724201675,9.612043701554759,0.6356304824458858,COMPLETE
